policy,docs_screened,screened_fraction,recall,positives_found,wss@95_if_reached,strategy,seed
oracle_target_recall_95,222,0.74,0.9534883720930233,41,0.20999999999999996,asreview_prior_1p1n,11
oracle_target_recall_90,218,0.7266666666666667,0.9069767441860465,39,,asreview_prior_1p1n,11
no_hit_window_50,280,0.9333333333333333,0.9767441860465116,42,0.016666666666666607,asreview_prior_1p1n,11
safe_like_upper_remaining<=1,280,0.9333333333333333,0.9767441860465116,42,0.016666666666666607,asreview_prior_1p1n,11
safe_like_and_no_hit_50,280,0.9333333333333333,0.9767441860465116,42,0.016666666666666607,asreview_prior_1p1n,11
oracle_target_recall_95,212,0.7066666666666667,0.9534883720930233,41,0.2433333333333333,asreview_prior_1p1n,19
oracle_target_recall_90,184,0.6133333333333333,0.9069767441860465,39,,asreview_prior_1p1n,19
no_hit_window_50,300,1.0,1.0,43,-0.050000000000000044,asreview_prior_1p1n,19
safe_like_upper_remaining<=1,291,0.97,1.0,43,-0.020000000000000018,asreview_prior_1p1n,19
safe_like_and_no_hit_50,300,1.0,1.0,43,-0.050000000000000044,asreview_prior_1p1n,19
oracle_target_recall_95,227,0.7566666666666667,0.9534883720930233,41,0.19333333333333325,asreview_prior_1p1n,42
oracle_target_recall_90,218,0.7266666666666667,0.9069767441860465,39,,asreview_prior_1p1n,42
no_hit_window_50,300,1.0,1.0,43,-0.050000000000000044,asreview_prior_1p1n,42
safe_like_upper_remaining<=1,291,0.97,1.0,43,-0.020000000000000018,asreview_prior_1p1n,42
safe_like_and_no_hit_50,300,1.0,1.0,43,-0.050000000000000044,asreview_prior_1p1n,42
oracle_target_recall_95,222,0.74,0.9534883720930233,41,0.20999999999999996,asreview_prior_1p1n,77
oracle_target_recall_90,191,0.6366666666666667,0.9069767441860465,39,,asreview_prior_1p1n,77
no_hit_window_50,300,1.0,1.0,43,-0.050000000000000044,asreview_prior_1p1n,77
safe_like_upper_remaining<=1,287,0.9566666666666667,1.0,43,-0.00666666666666671,asreview_prior_1p1n,77
safe_like_and_no_hit_50,300,1.0,1.0,43,-0.050000000000000044,asreview_prior_1p1n,77
oracle_target_recall_95,221,0.7366666666666667,0.9534883720930233,41,0.21333333333333326,asreview_prior_1p1n,2026
oracle_target_recall_90,173,0.5766666666666667,0.9069767441860465,39,,asreview_prior_1p1n,2026
no_hit_window_50,300,1.0,1.0,43,-0.050000000000000044,asreview_prior_1p1n,2026
safe_like_upper_remaining<=1,287,0.9566666666666667,1.0,43,-0.00666666666666671,asreview_prior_1p1n,2026
safe_like_and_no_hit_50,300,1.0,1.0,43,-0.050000000000000044,asreview_prior_1p1n,2026
oracle_target_recall_95,220,0.7333333333333333,0.9534883720930233,41,0.21666666666666667,asreview_prior_2p10n,11
oracle_target_recall_90,188,0.6266666666666667,0.9069767441860465,39,,asreview_prior_2p10n,11
no_hit_window_50,300,1.0,1.0,43,-0.050000000000000044,asreview_prior_2p10n,11
safe_like_upper_remaining<=1,288,0.96,1.0,43,-0.010000000000000009,asreview_prior_2p10n,11
safe_like_and_no_hit_50,300,1.0,1.0,43,-0.050000000000000044,asreview_prior_2p10n,11
oracle_target_recall_95,230,0.7666666666666667,0.9534883720930233,41,0.18333333333333324,asreview_prior_2p10n,19
oracle_target_recall_90,223,0.7433333333333333,0.9069767441860465,39,,asreview_prior_2p10n,19
no_hit_window_50,290,0.9666666666666667,1.0,43,-0.01666666666666672,asreview_prior_2p10n,19
safe_like_upper_remaining<=1,287,0.9566666666666667,1.0,43,-0.00666666666666671,asreview_prior_2p10n,19
safe_like_and_no_hit_50,290,0.9666666666666667,1.0,43,-0.01666666666666672,asreview_prior_2p10n,19
oracle_target_recall_95,230,0.7666666666666667,0.9534883720930233,41,0.18333333333333324,asreview_prior_2p10n,42
oracle_target_recall_90,218,0.7266666666666667,0.9069767441860465,39,,asreview_prior_2p10n,42
no_hit_window_50,300,1.0,1.0,43,-0.050000000000000044,asreview_prior_2p10n,42
safe_like_upper_remaining<=1,291,0.97,1.0,43,-0.020000000000000018,asreview_prior_2p10n,42
safe_like_and_no_hit_50,300,1.0,1.0,43,-0.050000000000000044,asreview_prior_2p10n,42
oracle_target_recall_95,224,0.7466666666666667,0.9534883720930233,41,0.20333333333333325,asreview_prior_2p10n,77
oracle_target_recall_90,198,0.66,0.9069767441860465,39,,asreview_prior_2p10n,77
no_hit_window_50,300,1.0,1.0,43,-0.050000000000000044,asreview_prior_2p10n,77
safe_like_upper_remaining<=1,290,0.9666666666666667,1.0,43,-0.01666666666666672,asreview_prior_2p10n,77
safe_like_and_no_hit_50,300,1.0,1.0,43,-0.050000000000000044,asreview_prior_2p10n,77
oracle_target_recall_95,222,0.74,0.9534883720930233,41,0.20999999999999996,asreview_prior_2p10n,2026
oracle_target_recall_90,195,0.65,0.9069767441860465,39,,asreview_prior_2p10n,2026
no_hit_window_50,300,1.0,1.0,43,-0.050000000000000044,asreview_prior_2p10n,2026
safe_like_upper_remaining<=1,289,0.9633333333333334,1.0,43,-0.01333333333333342,asreview_prior_2p10n,2026
safe_like_and_no_hit_50,300,1.0,1.0,43,-0.050000000000000044,asreview_prior_2p10n,2026
oracle_target_recall_95,224,0.7466666666666667,0.9534883720930233,41,0.20333333333333325,random_12_no_prior,11
oracle_target_recall_90,202,0.6733333333333333,0.9069767441860465,39,,random_12_no_prior,11
no_hit_window_50,300,1.0,1.0,43,-0.050000000000000044,random_12_no_prior,11
safe_like_upper_remaining<=1,290,0.9666666666666667,1.0,43,-0.01666666666666672,random_12_no_prior,11
safe_like_and_no_hit_50,300,1.0,1.0,43,-0.050000000000000044,random_12_no_prior,11
oracle_target_recall_95,211,0.7033333333333334,0.9534883720930233,41,0.2466666666666666,random_12_no_prior,19
oracle_target_recall_90,194,0.6466666666666666,0.9069767441860465,39,,random_12_no_prior,19
no_hit_window_50,300,1.0,1.0,43,-0.050000000000000044,random_12_no_prior,19
safe_like_upper_remaining<=1,290,0.9666666666666667,1.0,43,-0.01666666666666672,random_12_no_prior,19
safe_like_and_no_hit_50,300,1.0,1.0,43,-0.050000000000000044,random_12_no_prior,19
oracle_target_recall_95,223,0.7433333333333333,0.9534883720930233,41,0.20666666666666667,random_12_no_prior,42
oracle_target_recall_90,192,0.64,0.9069767441860465,39,,random_12_no_prior,42
no_hit_window_50,300,1.0,1.0,43,-0.050000000000000044,random_12_no_prior,42
safe_like_upper_remaining<=1,291,0.97,1.0,43,-0.020000000000000018,random_12_no_prior,42
safe_like_and_no_hit_50,300,1.0,1.0,43,-0.050000000000000044,random_12_no_prior,42
oracle_target_recall_95,226,0.7533333333333333,0.9534883720930233,41,0.19666666666666666,random_12_no_prior,77
oracle_target_recall_90,193,0.6433333333333333,0.9069767441860465,39,,random_12_no_prior,77
no_hit_window_50,300,1.0,1.0,43,-0.050000000000000044,random_12_no_prior,77
safe_like_upper_remaining<=1,291,0.97,1.0,43,-0.020000000000000018,random_12_no_prior,77
safe_like_and_no_hit_50,300,1.0,1.0,43,-0.050000000000000044,random_12_no_prior,77
oracle_target_recall_95,224,0.7466666666666667,0.9534883720930233,41,0.20333333333333325,random_12_no_prior,2026
oracle_target_recall_90,190,0.6333333333333333,0.9069767441860465,39,,random_12_no_prior,2026
no_hit_window_50,300,1.0,1.0,43,-0.050000000000000044,random_12_no_prior,2026
safe_like_upper_remaining<=1,291,0.97,1.0,43,-0.020000000000000018,random_12_no_prior,2026
safe_like_and_no_hit_50,300,1.0,1.0,43,-0.050000000000000044,random_12_no_prior,2026
