scenario_id,threshold_policy,target_recall,baseline_docs_screened,baseline_recall,additional_docs_requested,additional_docs_effective,total_docs,cap_reached,prevalence_band,prevalence,total_relevant_assumed,tp,fp,tn,fn,precision,recall,specificity,fpr,fnr,screened_docs_total,screened_fraction,work_saved_docs,work_saved_fraction,additional_tp_vs_baseline,fn_reduction_vs_baseline,incremental_yield_tp_per_doc
recall_target_90__low__plus_50,recall_target_90,0.9,197,0.906977,50,50,300,False,low,0.1,30,29.393327,217.606673,52.393327,0.606673,0.119001,0.979778,0.194049,0.805951,0.020222,247,0.823333,53,0.176667,2.184024,2.184024,0.04368
recall_target_90__low__plus_100,recall_target_90,0.9,197,0.906977,100,100,300,False,low,0.1,30,30.0,267.0,3.0,0.0,0.10101,1.0,0.011111,0.988889,0.0,297,0.99,3,0.01,2.790698,2.790698,0.027907
recall_target_90__low__plus_200,recall_target_90,0.9,197,0.906977,200,103,300,True,low,0.1,30,30.0,270.0,0.0,0.0,0.1,1.0,0.0,1.0,0.0,300,1.0,0,0.0,2.790698,2.790698,0.027094
recall_target_90__low__plus_400,recall_target_90,0.9,197,0.906977,400,103,300,True,low,0.1,30,30.0,270.0,0.0,0.0,0.1,1.0,0.0,1.0,0.0,300,1.0,0,0.0,2.790698,2.790698,0.027094
recall_target_90__medium__plus_50,recall_target_90,0.9,197,0.906977,50,50,300,False,medium,0.143333,43,42.130435,204.869565,52.130435,0.869565,0.170569,0.979778,0.202842,0.797158,0.020222,247,0.823333,53,0.176667,3.130435,3.130435,0.062609
recall_target_90__medium__plus_100,recall_target_90,0.9,197,0.906977,100,100,300,False,medium,0.143333,43,43.0,254.0,3.0,0.0,0.144781,1.0,0.011673,0.988327,0.0,297,0.99,3,0.01,4.0,4.0,0.04
recall_target_90__medium__plus_200,recall_target_90,0.9,197,0.906977,200,103,300,True,medium,0.143333,43,43.0,257.0,0.0,0.0,0.143333,1.0,0.0,1.0,0.0,300,1.0,0,0.0,4.0,4.0,0.038835
recall_target_90__medium__plus_400,recall_target_90,0.9,197,0.906977,400,103,300,True,medium,0.143333,43,43.0,257.0,0.0,0.0,0.143333,1.0,0.0,1.0,0.0,300,1.0,0,0.0,4.0,4.0,0.038835
recall_target_90__high__plus_50,recall_target_90,0.9,197,0.906977,50,50,300,False,high,0.2,60,58.786653,188.213347,51.786653,1.213347,0.238003,0.979778,0.215778,0.784222,0.020222,247,0.823333,53,0.176667,4.368049,4.368049,0.087361
recall_target_90__high__plus_100,recall_target_90,0.9,197,0.906977,100,100,300,False,high,0.2,60,60.0,237.0,3.0,0.0,0.20202,1.0,0.0125,0.9875,0.0,297,0.99,3,0.01,5.581395,5.581395,0.055814
recall_target_90__high__plus_200,recall_target_90,0.9,197,0.906977,200,103,300,True,high,0.2,60,60.0,240.0,0.0,0.0,0.2,1.0,0.0,1.0,0.0,300,1.0,0,0.0,5.581395,5.581395,0.054188
recall_target_90__high__plus_400,recall_target_90,0.9,197,0.906977,400,103,300,True,high,0.2,60,60.0,240.0,0.0,0.0,0.2,1.0,0.0,1.0,0.0,300,1.0,0,0.0,5.581395,5.581395,0.054188
recall_target_95__low__plus_50,recall_target_95,0.95,221,0.953488,50,50,300,False,low,0.1,30,29.463327,241.536673,28.463327,0.536673,0.108721,0.982111,0.10542,0.89458,0.017889,271,0.903333,29,0.096667,0.858676,0.858676,0.017174
recall_target_95__low__plus_100,recall_target_95,0.95,221,0.953488,100,79,300,True,low,0.1,30,30.0,270.0,0.0,0.0,0.1,1.0,0.0,1.0,0.0,300,1.0,0,0.0,1.395349,1.395349,0.017663
recall_target_95__low__plus_200,recall_target_95,0.95,221,0.953488,200,79,300,True,low,0.1,30,30.0,270.0,0.0,0.0,0.1,1.0,0.0,1.0,0.0,300,1.0,0,0.0,1.395349,1.395349,0.017663
recall_target_95__low__plus_400,recall_target_95,0.95,221,0.953488,400,79,300,True,low,0.1,30,30.0,270.0,0.0,0.0,0.1,1.0,0.0,1.0,0.0,300,1.0,0,0.0,1.395349,1.395349,0.017663
recall_target_95__medium__plus_50,recall_target_95,0.95,221,0.953488,50,50,300,False,medium,0.143333,43,42.230769,228.769231,28.230769,0.769231,0.155833,0.982111,0.109847,0.890153,0.017889,271,0.903333,29,0.096667,1.230769,1.230769,0.024615
recall_target_95__medium__plus_100,recall_target_95,0.95,221,0.953488,100,79,300,True,medium,0.143333,43,43.0,257.0,0.0,0.0,0.143333,1.0,0.0,1.0,0.0,300,1.0,0,0.0,2.0,2.0,0.025316
recall_target_95__medium__plus_200,recall_target_95,0.95,221,0.953488,200,79,300,True,medium,0.143333,43,43.0,257.0,0.0,0.0,0.143333,1.0,0.0,1.0,0.0,300,1.0,0,0.0,2.0,2.0,0.025316
recall_target_95__medium__plus_400,recall_target_95,0.95,221,0.953488,400,79,300,True,medium,0.143333,43,43.0,257.0,0.0,0.0,0.143333,1.0,0.0,1.0,0.0,300,1.0,0,0.0,2.0,2.0,0.025316
recall_target_95__high__plus_50,recall_target_95,0.95,221,0.953488,50,50,300,False,high,0.2,60,58.926655,212.073345,27.926655,1.073345,0.217442,0.982111,0.116361,0.883639,0.017889,271,0.903333,29,0.096667,1.717352,1.717352,0.034347
recall_target_95__high__plus_100,recall_target_95,0.95,221,0.953488,100,79,300,True,high,0.2,60,60.0,240.0,0.0,0.0,0.2,1.0,0.0,1.0,0.0,300,1.0,0,0.0,2.790698,2.790698,0.035325
recall_target_95__high__plus_200,recall_target_95,0.95,221,0.953488,200,79,300,True,high,0.2,60,60.0,240.0,0.0,0.0,0.2,1.0,0.0,1.0,0.0,300,1.0,0,0.0,2.790698,2.790698,0.035325
recall_target_95__high__plus_400,recall_target_95,0.95,221,0.953488,400,79,300,True,high,0.2,60,60.0,240.0,0.0,0.0,0.2,1.0,0.0,1.0,0.0,300,1.0,0,0.0,2.790698,2.790698,0.035325
